year,state,race3,female,item,n_grp,s_grp
2006,AK,black,female,abany_binary,0,0
2006,AK,black,female,abrape_binary,0,0
2006,AK,black,female,affrmact_binary,0,0
2006,AK,black,female,busing_binary,0,0
2006,AK,black,female,cappun2_binary,0,0
2006,AK,black,female,cappun_binary,0,0
2006,AK,black,female,eqwlth_binary,0,0
2006,AK,black,female,gunlaw_binary,0,0
2006,AK,black,female,helppoor_binary,0,0
2006,AK,black,female,helpsick_binary,0,0
2006,AK,black,female,hlthcare_binary,0,0
2006,AK,black,female,jobsall_binary,0,0
2006,AK,black,female,marhomo_binary,0,0
2006,AK,black,female,racmar_binary,0,0
2006,AK,black,male,abany_binary,0,0
2006,AK,black,male,abrape_binary,0,0
2006,AK,black,male,affrmact_binary,0,0
2006,AK,black,male,busing_binary,0,0
2006,AK,black,male,cappun2_binary,0,0
2006,AK,black,male,cappun_binary,0,0
2006,AK,black,male,eqwlth_binary,0,0
2006,AK,black,male,gunlaw_binary,0,0
2006,AK,black,male,helppoor_binary,0,0
2006,AK,black,male,helpsick_binary,0,0
2006,AK,black,male,hlthcare_binary,0,0
2006,AK,black,male,jobsall_binary,0,0
2006,AK,black,male,marhomo_binary,0,0
2006,AK,black,male,racmar_binary,0,0
2006,AK,other,female,abany_binary,0,0
2006,AK,other,female,abrape_binary,0,0
2006,AK,other,female,affrmact_binary,0,0
2006,AK,other,female,busing_binary,0,0
2006,AK,other,female,cappun2_binary,0,0
2006,AK,other,female,cappun_binary,0,0
2006,AK,other,female,eqwlth_binary,0,0
2006,AK,other,female,gunlaw_binary,0,0
2006,AK,other,female,helppoor_binary,0,0
2006,AK,other,female,helpsick_binary,0,0
2006,AK,other,female,hlthcare_binary,0,0
2006,AK,other,female,jobsall_binary,0,0
2006,AK,other,female,marhomo_binary,0,0
2006,AK,other,female,racmar_binary,0,0
2006,AK,other,male,abany_binary,0,0
2006,AK,other,male,abrape_binary,0,0
2006,AK,other,male,affrmact_binary,0,0
2006,AK,other,male,busing_binary,0,0
2006,AK,other,male,cappun2_binary,0,0
2006,AK,other,male,cappun_binary,0,0
2006,AK,other,male,eqwlth_binary,0,0
2006,AK,other,male,gunlaw_binary,0,0
2006,AK,other,male,helppoor_binary,0,0
2006,AK,other,male,helpsick_binary,0,0
2006,AK,other,male,hlthcare_binary,0,0
2006,AK,other,male,jobsall_binary,0,0
2006,AK,other,male,marhomo_binary,0,0
2006,AK,other,male,racmar_binary,0,0
2006,AK,white,female,abany_binary,0,0
2006,AK,white,female,abrape_binary,0,0
2006,AK,white,female,affrmact_binary,0,0
2006,AK,white,female,busing_binary,0,0
2006,AK,white,female,cappun2_binary,0,0
2006,AK,white,female,cappun_binary,0,0
2006,AK,white,female,eqwlth_binary,0,0
2006,AK,white,female,gunlaw_binary,0,0
2006,AK,white,female,helppoor_binary,0,0
