state,year,race3,proportion
AK,1930,black,1.73955859549834e-05
AL,1930,black,0.00655420001046515
AR,1930,black,0.00330461066451812
AZ,1930,black,0.000140123355393212
CA,1930,black,0.0011093701552749
CO,1930,black,8.39873630745797e-05
CT,1930,black,0.000276062445194522
DC,1930,black,0.00153640306743837
DE,1930,black,0.00025059791686827
FL,1930,black,0.00372198044566371
GA,1930,black,0.00730087626250136
HI,1930,black,2.38146758261746e-05
IA,1930,black,0.000110790870712808
ID,1930,black,1.34426396719796e-05
IL,1930,black,0.00310744471701049
IN,1930,black,0.000902436128761046
KS,1930,black,0.000519568973476827
KY,1930,black,0.00160047645238335
LA,1930,black,0.00587925781785343
MA,1930,black,0.000462737853021725
MD,1930,black,0.00168350007669026
ME,1930,black,6.71678334444085e-06
MI,1930,black,0.00161825756256983
MN,1930,black,8.82964608274799e-05
MO,1930,black,0.00182083704033676
MS,1930,black,0.00711803831352237
MT,1930,black,1.68315512291768e-05
NC,1930,black,0.006116476157397
ND,1930,black,5.46338455666806e-06
NE,1930,black,9.39634631094731e-05
NH,1930,black,5.0013289590023e-06
NJ,1930,black,0.00177773817899956
NM,1930,black,3.8198344855531e-05
NV,1930,black,3.07092946059524e-06
NY,1930,black,0.0044395385003939
OH,1930,black,0.00265415471849733
OK,1930,black,0.00120613341318409
OR,1930,black,3.47410760772543e-05
PA,1930,black,0.00377129676039347
RI,1930,black,7.83164716921641e-05
SC,1930,black,0.00518922853794675
SD,1930,black,1.61183174597784e-06
TN,1930,black,0.00349888380428443
TX,1930,black,0.00653712960797438
UT,1930,black,8.03676138925533e-06
VA,1930,black,0.0045200485667123
VT,1930,black,1.12166791522652e-06
WA,1930,black,4.8011744657849e-05
WI,1930,black,9.08376855043667e-05
WV,1930,black,0.00082925609452046
WY,1930,black,5.62318580150652e-06
AK,1931,black,1.80791218739729e-05
AL,1931,black,0.00655005274088663
AR,1931,black,0.00330213586963703
AZ,1931,black,0.000139466314477409
CA,1931,black,0.00110537004060076
CO,1931,black,8.37929357680182e-05
CT,1931,black,0.000275517576031379
DC,1931,black,0.00153640306743837
DE,1931,black,0.000250584907583228
FL,1931,black,0.00372026359875762
GA,1931,black,0.00729532800977801
HI,1931,black,2.40974108969515e-05
IA,1931,black,0.00011096091608676
ID,1931,black,1.35118386221503e-05
IL,1931,black,0.0031045976337215
IN,1931,black,0.000900663986683839
KS,1931,black,0.000519105005064957
KY,1931,black,0.00159576260489491
LA,1931,black,0.00587608269812713
MA,1931,black,0.00046174642742553
MD,1931,black,0.00176624039199535
ME,1931,black,6.71298439004759e-06
MI,1931,black,0.00161444032042525
MN,1931,black,8.81870205165635e-05
MO,1931,black,0.00181932854290121
MS,1931,black,0.00711456357231656
MT,1931,black,1.69139750033869e-05
NC,1931,black,0.00611319948678144
ND,1931,black,5.44330279266646e-06
NE,1931,black,9.40897979222037e-05
NH,1931,black,5.03719648263195e-06
NJ,1931,black,0.00177688056089497
NM,1931,black,3.83617136591608e-05
NV,1931,black,3.02753416965348e-06
NY,1931,black,0.0044418691429492
OH,1931,black,0.00265052395161526
OK,1931,black,0.00120497070181757
OR,1931,black,3.45905238126658e-05
PA,1931,black,0.00376994096960077
RI,1931,black,7.82334321650361e-05
SC,1931,black,0.00518714540547908
SD,1931,black,1.63927390662223e-06
TN,1931,black,0.00349296992894912
TX,1931,black,0.00653300424029873
UT,1931,black,8.02898428355326e-06
VA,1931,black,0.00451930324626495
VT,1931,black,1.12754454252383e-06
WA,1931,black,4.76461552530958e-05
WI,1931,black,9.08224079156049e-05
WV,1931,black,0.000828221774465444
WY,1931,black,5.62215465215689e-06
AK,1932,black,1.87626577929623e-05
AL,1932,black,0.00654581643788344
AR,1932,black,0.00329939566371418
AZ,1932,black,0.000138821318130775
CA,1932,black,0.00110136161732571
CO,1932,black,8.3600762876983e-05
CT,1932,black,0.000274953028770927
DC,1932,black,0.00153640306743837
DE,1932,black,0.000250566343694567
FL,1932,black,0.00371852760361261
GA,1932,black,0.00728993804877879
HI,1932,black,2.43801459677284e-05
IA,1932,black,0.000111129054759496
ID,1932,black,1.35796720075041e-05
IL,1932,black,0.00310172842407347
IN,1932,black,0.000898887894425498
KS,1932,black,0.000518640579967997
KY,1932,black,0.00159095019609726
LA,1932,black,0.00587277933483586
MA,1932,black,0.000460757519007011
MD,1932,black,0.0018341560846209
ME,1932,black,6.70910398836254e-06
MI,1932,black,0.00161058682948968
MN,1932,black,8.80764209571576e-05
MO,1932,black,0.00181780637688313
MS,1932,black,0.00711114078742592
MT,1932,black,1.69954339177085e-05
NC,1932,black,0.00610989309263514
ND,1932,black,5.42373301402734e-06
NE,1932,black,9.42137724475195e-05
NH,1932,black,5.07218887459675e-06
NJ,1932,black,0.00177597600571226
NM,1932,black,3.85208976296543e-05
NV,1932,black,2.98566248134116e-06
NY,1932,black,0.00444424381639329
OH,1932,black,0.00264685641093662
OK,1932,black,0.00120379752612669
OR,1932,black,3.4437385332597e-05
PA,1932,black,0.0037685368922202
RI,1932,black,7.8149824802663e-05
SC,1932,black,0.00518506173240899
SD,1932,black,1.66597992633605e-06
TN,1932,black,0.00348697971099086
TX,1932,black,0.00652889615557234
UT,1932,black,8.02116212992961e-06
VA,1932,black,0.00451850954122403
VT,1932,black,1.13343715143442e-06
WA,1932,black,4.72815128958777e-05
WI,1932,black,9.08070896012824e-05
WV,1932,black,0.000827190285619322
WY,1932,black,5.62127953430503e-06
AK,1933,black,1.94461873428729e-05
AL,1933,black,0.00654149097845019
AR,1933,black,0.00329639652470864
AZ,1933,black,0.000138187140486686
CA,1933,black,0.00109734370476445
CO,1933,black,8.34107933758427e-05
CT,1933,black,0.000274368471169387
DC,1933,black,0.00153640306743837
DE,1933,black,0.000250542216643387
FL,1933,black,0.00371677174034271
GA,1933,black,0.00728470408672013
HI,1933,black,2.46628810385053e-05
IA,1933,black,0.000111295321364073
ID,1933,black,1.36461874556851e-05
IL,1933,black,0.00309883755975535
IN,1933,black,0.000897107540281241
KS,1933,black,0.000518175704651878
KY,1933,black,0.00158603991345662
LA,1933,black,0.00586934734844888
MA,1933,black,0.000459770928914167
MD,1933,black,0.00189075380978418
ME,1933,black,6.70514149662954e-06
