year,state,state_name,ICPSRCode,region,fips,prop_evangelicals,prop_hispanic,income_percapita,prop_union,prop_urban,prop_black
1930,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1322413,0.0330847820118206
1931,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1429734,0.0330847820118206
1932,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1537055,0.0330847820118206
1933,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1644375,0.0330847820118206
1934,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1751696,0.0330847820118206
1935,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1859017,0.0330847820118206
1936,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.1966338,0.0330847820118206
1937,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2073658,0.0330847820118206
1938,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2180979,0.0330847820118206
1939,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.22883,0.0330847820118206
1940,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2395621,0.0330847820118206
1941,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2422393,0.0330847820118206
1942,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2449165,0.0330847820118206
1943,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2475936,0.0330847820118206
1944,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2502708,0.0330847820118206
1945,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.252948,0.0330847820118206
1946,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2556252,0.0330847820118206
1947,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2583024,0.0330847820118206
1948,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2609796,0.0330847820118206
1949,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,,,0.2636568,0.0330847820118206
1950,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,28550.22203187,,0.266334,0.0330847820118206
1951,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,31040.11096311,,0.2776226,0.0330847820118206
1952,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,29166.507057096,,0.2889111,0.0330847820118206
1953,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,28193.482848024,,0.3001997,0.0330847820118206
1954,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,25860.40501802,,0.3114883,0.0330847820118206
1955,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,25603.14234945,,0.3227769,0.0330847820118206
1956,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,26420.424411408,,0.3340655,0.0330847820118206
1957,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,24536.742098847,,0.345354,0.0330847820118206
1958,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,24735.061315432,,0.3566426,0.0330847820118206
1959,AK,Alaska,81,West,2,0.1080557,0.0129477897718241,25566.885325371,,0.3679312,0.0330847820118206
